,course_id,title,url,is_paid,old_price,old_subscribers,num_reviews,num_lectures,level,duration,old_pub_date,subject,status,rating1,rating2,rating3,rating4,rating5,rating_tot,new_subscribers,new_pub_date,upd_month,new_price,curr_price,discount,timestamp,old_revenue,new_revenue,student_lect,lect_price,cum_new_subsc,cum_old_subsc,new_perc_subs,old_perc_subs,new_cat,old_cat
1558,327310,Design Efficiency Intensive,https://www.udemy.com/fd-design-efficiency-intensive/,True,20,6,0,5,Intermediate Level,0.55,2015-01-12T06:46:34Z,Graphic Design,OK,0.0,0.0,0.0,1.0,0.0,1.0,16.0, 1/2015,66.0,79.99,47.99,40.0, 2020-07-09 14:41:11 ,120,1279.84,30,4.0,1.886467220931787e-05,2.3829481548208574e-05,6.477140672727165e-07,6.1363471797962e-07,1,1
2365,594854,Getting Started on the Acoustic Guitar,https://www.udemy.com/getting-started-on-the-acoustic-guitar/,True,20,3,0,28,Beginner Level,1.0,2015-10-20T20:02:26Z,Musical Instruments,OK,0.0,0.0,0.0,2.0,0.0,2.0,16.0, 10/2015,57.0,79.99,47.99,40.0, 2020-07-09 15:36:28 ,60,1279.84,84,0.7142857142857143,1.9512386276590584e-05,6.3408920857894065e-06,6.477140672727165e-07,3.0681735898981e-07,1,1
1618,1047408,Easy Coloring Book Design,https://www.udemy.com/easy-coloring-book-design/,True,25,0,0,9,Beginner Level,0.5833333333333334,2016-12-22T00:46:38Z,Graphic Design,OK,0.0,1.0,4.0,0.0,1.0,6.0,17.0, 12/2016,43.0,99.99,59.99,40.0, 2020-07-09 14:43:28 ,0,1699.83,0,2.7777777777777777,2.0200582473067845e-05,0.0,6.881961964772613e-07,0.0,1,1
1553,381828,Learn Mobile App Design in Photoshop,https://www.udemy.com/design-iosandroid-icons/,True,20,11,1,13,Beginner Level,1.5,2015-01-07T00:46:01Z,Graphic Design,OK,1.0,0.0,1.0,0.0,0.0,2.0,17.0, 1/2015,66.0,79.99,47.99,40.0, 2020-07-09 14:40:59 ,220,1359.83,143,1.5384615384615385,2.0888778669545107e-05,7.834069899539814e-05,6.881961964772613e-07,1.1249969829626365e-06,1,1
2170,269830,Rhythm to Rock Drum Lesson 5,https://www.udemy.com/rhythm-to-rock-drum-lesson-5/,True,20,13,3,9,Beginner Level,1.0,2014-08-18T22:26:24Z,Musical Instruments,OK,0.0,0.0,0.0,0.0,3.0,3.0,17.0, 8/2014,71.0,79.99,47.99,40.0, 2020-07-09 15:28:58 ,260,1359.83,117,2.2222222222222223,2.1576974866022368e-05,0.00010799971036441312,6.881961964772613e-07,1.3295418889558433e-06,1,1
408,889066,Trading Options Basics,https://www.udemy.com/trading-options-basics/,True,200,8,0,8,Beginner Level,1.5,2016-07-01T03:13:22Z,Business Finance,OK,0.0,0.0,1.0,0.0,0.0,1.0,17.0, 7/2016,48.0,799.99,479.99,40.0, 2020-07-09 13:47:53 ,1600,13599.83,64,25.0,2.226517106249963e-05,3.98862566686753e-05,6.881961964772613e-07,8.181796239728266e-07,1,1
2468,217540,Aprende a tocar el bajo eléctrico ,https://www.udemy.com/aprende-a-tocar-el-bajo-electrico/,True,50,9,0,33,All Levels,3.5,2014-05-16T17:29:37Z,Musical Instruments,OK,0.0,0.0,0.0,1.0,1.0,2.0,17.0, 5/2014,74.0,79.99,47.99,40.0, 2020-07-09 15:44:33 ,450,1359.83,297,1.5151515151515151,2.295336725897689e-05,4.9397594797359405e-05,6.881961964772613e-07,9.2045207696943e-07,1,1
2364,632234,Guitar Chords and Basic Strumming,https://www.udemy.com/guitar-chords-and-basic-strumming/,True,20,3,0,35,Beginner Level,2.5,2015-12-17T18:14:23Z,Musical Instruments,OK,0.0,0.0,0.0,1.0,1.0,2.0,17.0, 10/2015,57.0,79.99,47.99,40.0, 2020-07-09 15:36:26 ,60,1359.83,105,0.5714285714285714,2.3641563455454152e-05,6.034074726799596e-06,6.881961964772613e-07,3.0681735898981e-07,1,1
2340,205764,Rhythm to Rock Drum Lessons 3,https://www.udemy.com/rhythm-to-rock-drum-lessons-3/,True,20,12,2,12,Beginner Level,1.0,2014-07-18T02:11:57Z,Musical Instruments,OK,0.0,0.0,0.0,0.0,2.0,2.0,17.0, 7/2014,72.0,79.99,47.99,40.0, 2020-07-09 15:35:32 ,240,1359.83,144,1.6666666666666667,2.4329759651931413e-05,8.887476165404829e-05,6.881961964772613e-07,1.22726943595924e-06,1,1
1560,513212,Adobe InDesign Tips and Tricks,https://www.udemy.com/adobe-indesign-best-tutorials/,True,80,4,0,8,All Levels,1.0,2015-06-22T23:37:56Z,Graphic Design,OK,0.0,0.0,1.0,1.0,0.0,2.0,17.0, 6/2015,61.0,139.99,83.99,40.0, 2020-07-09 14:41:15 ,320,2379.83,32,10.0,2.5017955848408675e-05,1.3602236248548242e-05,6.881961964772613e-07,4.090898119864133e-07,1,1
